"tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()","SubjectId","ActivityName"
0.28202157,-0.037696218,-0.1348973,-0.32828019,-0.13715339,-0.18908594,0.94530277,-0.24594143,-0.032164781,-0.98404763,-0.92892805,-0.93255981,-0.15648565,-0.14285296,-0.11307869,-0.18375939,-0.17046131,-0.6138299,-0.47972952,0.082034033,0.25644309,-0.32354578,-0.14193972,-0.456598,0.094248032,-0.47621005,-0.14213364,-0.34571615,-0.48674954,-0.42150795,-0.22455962,-0.23798068,-0.22455962,-0.23798068,-0.28942433,-0.1650001,-0.034395601,-0.16818626,-0.46614969,-0.43365401,-0.26090491,-0.1225668,-0.33121596,-0.35670701,-0.19956719,-0.17778017,-0.21046447,-0.26352811,-0.53570907,-0.22825321,-0.12427445,-0.69843617,-0.18478068,-0.19802441,-0.30755844,-0.36807715,-0.11504726,-0.5653109,-0.16681083,-0.39958295,-0.15404481,-0.18468998,-0.22217604,-0.27364953,-0.43183165,-0.792190209274884,"1","WALKING"
0.33614928,-0.023240895,-0.17409769,-0.54884909,-0.24749624,-0.4477226,0.94613051,-0.25669097,-0.091242197,-0.97816149,-0.95605074,-0.92261833,0.14887199,-0.44374565,-0.29471117,-0.61036519,-0.40956639,-0.6635388,0.066472613,-0.18039075,0.021533809,-0.56158128,-0.74019888,-0.57310879,-0.052285122,0.14460449,-0.27914086,-0.53036689,-0.79511844,-0.66577864,-0.41867964,-0.50264281,-0.41867964,-0.50264281,-0.5739169,-0.48136976,-0.54006944,-0.62385861,-0.72051983,-0.68448591,-0.53976481,-0.2066396,-0.47433379,-0.55236797,-0.31785096,-0.47628199,-0.6067974,-0.46466821,-0.64716747,-0.65046645,-0.38814366,-0.67749329,-0.46080163,-0.70940076,-0.4925123,-0.59366141,-0.76298612,-0.6421096,-0.49886806,-0.58149841,-0.50366282,-0.4542507,-0.62992073,-0.68491863,-0.68596243,-0.795977556421317,"3","WALKING"
0.25043299,-0.054901682,-0.045979808,-0.42943017,0.042616089,-0.41810135,0.97514083,-0.080858614,-0.041520198,-0.96547125,-0.90706378,-0.85298219,-0.018995068,0.0035810431,0.25299847,-0.41922363,-0.16653018,-0.75920042,-0.45350852,0.10062975,0.02209549,-0.396196,-0.54472708,-0.33891159,0.063410147,-0.14561507,0.0056822832,-0.43785049,-0.69517559,-0.25594986,-0.25488869,-0.4021282,-0.25488869,-0.4021282,-0.41438974,-0.3684169,-0.23091328,-0.29230233,-0.54512766,-0.59046449,-0.43769186,-0.12515269,-0.53624267,-0.42609619,0.05724297,-0.40211227,-0.46877931,-0.31150121,-0.73286974,-0.41891878,-0.071070509,-0.78403273,-0.25758953,-0.5683279,-0.24545278,-0.44034044,-0.53387632,-0.43304183,-0.40352838,-0.49378241,-0.4382785,-0.29230584,-0.42973063,-0.32468232,-0.66637923,-0.797367948868393,"5","WALKING"
0.2607563,-0.034362473,-0.16878845,-0.42693097,0.043189434,-0.55318774,0.96460134,-0.19999936,0.04996874,-0.97155205,-0.93864034,-0.87893036,0.31670811,-0.28172749,-0.091407242,-0.3521489,-0.22936502,-0.74256915,0.36770441,-0.28226963,0.10589867,-0.45799794,-0.46065988,-0.55677316,-0.10555086,0.1292662,0.02684842,-0.41772391,-0.62073959,-0.51536396,-0.27841434,-0.41570962,-0.27841434,-0.41570962,-0.38074003,-0.39412382,-0.24484821,-0.4811103,-0.54542044,-0.60806296,-0.34410795,0.013331995,-0.6079756,-0.46298846,-0.006918965,-0.5579311,-0.34935159,-0.27935773,-0.72581688,-0.41508062,-0.22532818,-0.75709998,-0.37749035,-0.47160408,-0.46093372,-0.4849042,-0.45775014,-0.63370194,-0.33840098,-0.55492507,-0.37873841,-0.41816268,-0.50856866,-0.55122125,-0.59383499,-0.799225930059444,"6","WALKING"
0.20806983,0.0025750056,-0.12476458,-0.65437591,-0.57937091,-0.20037814,0.92670486,-0.11646761,-0.27603183,-0.97960258,-0.96880511,-0.96792036,0.2923483,-0.010364893,0.17894774,-0.65923165,-0.63441484,-0.59680745,-0.11082189,-0.072507849,0.096167805,-0.71509176,-0.69231822,-0.59914496,-0.1207822,-0.10718516,0.066607631,-0.6768797,-0.70150466,-0.74896548,-0.47444281,-0.57636204,-0.47444281,-0.57636204,-0.62419381,-0.55826966,-0.63301388,-0.65212904,-0.71824462,-0.68754318,-0.60101748,-0.5621951,-0.38682088,-0.6777369,-0.614949,-0.16848793,-0.67592818,-0.65095456,-0.56345593,-0.67167483,-0.64064739,-0.62785449,-0.63385063,-0.65633482,-0.60093941,-0.74084839,-0.71893631,-0.63505338,-0.60275428,-0.62721642,-0.56107602,-0.5552315,-0.6567107,-0.70949564,-0.67702274,-0.801390740268579,"7","WALKING"
0.20827927,-0.044772946,-0.066532325,-0.22405272,0.24530608,-0.34637178,0.95730895,-0.25662443,-0.038469542,-0.96166057,-0.88729213,-0.92152929,0.40936749,0.26664935,0.14546042,-0.25700626,0.15041423,-0.5822913,0.18507787,-0.16309798,-0.030612671,-0.16541077,-0.27992801,-0.37656058,-0.30742877,-0.056825899,-0.11802828,-0.2297132,-0.53219706,-0.49050246,-0.067992876,-0.22219889,-0.067992876,-0.22219889,-0.18658575,-0.17270346,-0.087111265,-0.18461491,-0.43030931,-0.52947413,-0.16518934,0.22361917,-0.42309192,-0.24842509,0.17794577,-0.35567779,-0.29859474,-0.030121103,-0.55043042,-0.27889002,0.26416512,-0.61170557,-0.065256423,-0.37462069,-0.35365085,-0.20041681,-0.23218503,-0.44116777,-0.11944505,-0.40751143,-0.12812372,-0.23928189,-0.24720278,-0.28137643,-0.51755862,-0.805360231353443,"8","WALKING"
0.1546883,-0.032036776,-0.052295874,-0.42324604,-0.11063208,-0.4640545,0.94114076,-0.20659851,0.17058379,-0.95067574,-0.92842881,-0.90081644,-0.036088847,0.21307489,0.11252004,-0.44708099,-0.22282833,-0.71301263,-0.40460175,0.13830041,-0.14148904,-0.65423187,-0.51862617,-0.47622953,-0.0021053393,-0.35039468,0.074966112,-0.5709928,-0.74467232,-0.58680945,-0.29458011,-0.46987345,-0.29458011,-0.46987345,-0.43037236,-0.4094498,-0.35965521,-0.48867828,-0.656621,-0.74719143,-0.37244126,-0.12137405,-0.57197925,-0.44446427,-0.16092766,-0.44963273,-0.44307644,-0.28659596,-0.67923016,-0.50265929,-0.20405235,-0.7456321,-0.58676197,-0.54631886,-0.39648551,-0.67593015,-0.50554525,-0.55304855,-0.42779648,-0.57700339,-0.40855087,-0.4139197,-0.59039209,-0.51057342,-0.75131985,-0.806404775672791,"11","WALKING"
0.18216148,-0.10277369,-0.051900454,-0.55948926,-0.14703284,-0.12190702,0.84026502,-0.22431276,-0.39424885,-0.93284832,-0.83193328,-0.9393998,0.34889744,0.39788387,-0.11948829,-0.66156086,-0.48988188,-0.61580017,0.22614377,-0.25570331,-0.2214066,-0.59698268,-0.17107396,-0.31078401,-0.060247953,-0.3461214,-0.1402345,-0.68619992,-0.68223304,-0.68796477,-0.29185234,-0.45235334,-0.29185234,-0.45235334,-0.55906718,-0.61917652,-0.19614762,-0.34685278,-0.66604114,-0.74559525,-0.52783447,-0.23950081,-0.35875278,-0.57248868,-0.15452184,-0.073787444,-0.66928415,-0.48809879,-0.60463589,-0.68369133,-0.52930899,-0.6246616,-0.55003549,-0.3220585,-0.42942941,-0.61345126,-0.095920296,-0.33901307,-0.48028975,-0.52171381,-0.62095644,-0.61623394,-0.48821646,-0.36877504,-0.73382616,-0.806592853344865,"14","WALKING"
0.30616139,0.0042744008,-0.16837601,-0.48726495,0.029938671,-0.4498916,0.95070853,-0.24405953,0.10937562,-0.96648883,-0.97260054,-0.86001999,0.091677044,-0.17378595,-0.11882491,-0.55946618,-0.19541517,-0.69513515,-0.13084806,-0.023810232,-0.00093986588,-0.37672286,-0.63145082,-0.37752187,-0.26988223,-0.24319578,-0.31266529,-0.32411794,-0.80713807,-0.5507887,-0.29748777,-0.4421466,-0.29748777,-0.4421466,-0.47021239,-0.43743368,-0.34441046,-0.49612492,-0.61555794,-0.64426231,-0.53945448,-0.037194742,-0.53121167,-0.46793519,-0.00052802395,-0.44905635,-0.57647138,-0.22993261,-0.66132685,-0.5805907,-0.21147217,-0.72754403,-0.33669074,-0.6534226,-0.35421475,-0.39384667,-0.62098009,-0.4421542,-0.43906939,-0.53008647,-0.41402189,-0.47055446,-0.53191742,-0.55776871,-0.64339663,-0.807457402939714,"15","WALKING"
0.23590065,-0.054898386,-0.09686072,-0.46960093,-0.29156866,-0.24903322,0.90789442,-0.19721014,-0.27053459,-0.96641344,-0.8824521,-0.96330452,-0.019898881,0.085567529,0.18625694,-0.43791721,-0.40911262,-0.49714799,-0.11242792,0.0279472,0.14087986,-0.66858031,-0.68339254,-0.35716038,-0.32017621,-0.092042061,-0.053794597,-0.68029637,-0.72871897,-0.61645513,-0.33256563,-0.44784691,-0.33256563,-0.44784691,-0.41801099,-0.39856046,-0.51128956,-0.71229959,-0.69561312,-0.73041812,-0.49194647,-0.30769131,-0.29588285,-0.46092062,-0.32741421,-0.28222297,-0.51317497,-0.48057457,-0.45138575,-0.4119482,-0.37090917,-0.54070916,-0.55920662,-0.66180055,-0.43033449,-0.70344708,-0.69971509,-0.39356927,-0.44077899,-0.5371215,-0.40622294,-0.39250109,-0.70033326,-0.77266969,-0.74305182,-0.808261961810356,"16","WALKING"
